集計上の作物分類,作物名,用途,登録番号,農薬の種類,農薬の名称,適用病害虫雑草名,使用方法
稲,直播水稲,殺菌剤,23263,テブフロキン水和剤,トライフロアブル,いもち病,無人航空機による散布
稲,直播水稲,殺菌剤,23263,テブフロキン水和剤,トライフロアブル,稲こうじ病,無人航空機による散布
稲,直播水稲,殺菌剤,23690,トリシクラゾール・バリダマイシン・フェリムゾン水和剤,ノンブラスバリダフロアブル,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,23690,トリシクラゾール・バリダマイシン・フェリムゾン水和剤,ノンブラスバリダフロアブル,紋枯病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,20090,トリシクラゾール・フェリムゾン水和剤,ノンブラスフロアブル,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,14687,メプロニル水和剤,バシタックゾル,紋枯病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,16519,バリダマイシン液剤,バリダシンエアー,紋枯病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,17749,トリシクラゾール水和剤,ビームエイトゾル,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,23034,トリシクラゾール・フルトラニル水和剤,ビームエイトモンカットフロアブル,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,23034,トリシクラゾール・フルトラニル水和剤,ビームエイトモンカットフロアブル,紋枯病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,17346,トリシクラゾール水和剤,ビームゾル,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,16443,トリシクラゾール・バリダマイシン水和剤,ビームバリダゾル,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,16443,トリシクラゾール・バリダマイシン水和剤,ビームバリダゾル,紋枯病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,20058,イソプロチオラン粒剤,フジワン１キロ粒剤,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,13277,イソプロチオラン乳剤,フジワン乳剤,いもち病,無人航空機による散布
稲,直播水稲,殺菌剤,18756,フェリムゾン・フサライド水和剤,ブラシンゾル,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,18756,フェリムゾン・フサライド水和剤,ブラシンゾル,もみ枯細菌病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,18756,フェリムゾン・フサライド水和剤,ブラシンゾル,内穎褐変病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,18756,フェリムゾン・フサライド水和剤,ブラシンゾル,穂枯れ（ごま葉枯病菌）,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,19023,バリダマイシン・フェリムゾン・フサライド水和剤,ブラシンバリダゾル,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,19023,バリダマイシン・フェリムゾン・フサライド水和剤,ブラシンバリダゾル,紋枯病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,22195,トリシクラゾール・フェリムゾン水和剤,ブラステクトフロアブル,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,16019,プロベナゾール粒剤,ホクコーオリゼメート粒剤２０,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,21286,プロベナゾール粒剤,ホクコーオリゼメート粒剤４０,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,13992,カスガマイシン・バリダマイシン液剤,ホクコーカスミンバリダシン液剤,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,13992,カスガマイシン・バリダマイシン液剤,ホクコーカスミンバリダシン液剤,紋枯病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,7290,カスガマイシン液剤,ホクコーカスミン液剤,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,14230,チオファネートメチル水和剤,ホクコートップジンＭゾル,いもち病,無人航空機による散布
稲,直播水稲,殺菌剤,14230,チオファネートメチル水和剤,ホクコートップジンＭゾル,変色米（エピコッカム菌）,無人航空機による散布
稲,直播水稲,殺菌剤,14230,チオファネートメチル水和剤,ホクコートップジンＭゾル,墨黒穂病,無人航空機による散布
稲,直播水稲,殺菌剤,14230,チオファネートメチル水和剤,ホクコートップジンＭゾル,紋枯病,無人航空機による散布
稲,直播水稲,殺菌剤,16521,バリダマイシン液剤,ホクコーバリダシンエアー,紋枯病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,18755,フェリムゾン・フサライド水和剤,ホクコーブラシンゾル,いもち病,無人ﾍﾘｺﾌﾟﾀｰによる散布
稲,直播水稲,殺菌剤,18755,フェリムゾン・フサライド水和剤,ホクコーブラシンゾル,もみ枯細菌病,無人ﾍﾘｺﾌﾟﾀｰによる散布
